J05AF060510	Abacavir--Tableta recubierta-300 mg
J05AF063010	Abacavir--Solución oral-10 mg/ml
S01EC010110	Acetazolamida--Tableta-250 mg
R05CB010410	Acetilcisteína--Tableta efervescente-600 mg
R05CB011110	Acetilcisteína--Polvo-100 mg
R05CB011120	Acetilcisteína--Polvo-200 mg
R05CB013411	Acetilcisteína-Ampolla x 3 ml-Solución para inhalación-300 mg/3 ml
R05CB013420	Acetilcisteína--Solución para inhalación-500 mg
V03AB234111	Acetilcisteína-Ampolla x 3 ml-Solución inyectable-100 mg/ml 
S01AD031810	Aciclovir--Ungüento oftálmico-3 %
J05AB014510	Aciclovir--Polvo para inyección-250 mg
J05AB012611	Aciclovir-Frasco x 120 ml-Suspensión-200 mg/5 ml
J05AB010110	Aciclovir--Tableta-200 mg
J05AB010910	Aciclovir--Cápsula-200 mg
J05AB010510	Aciclovir--Tableta recubierta-200 mg
J05AB010120	Aciclovir--Tableta-400 mg
J05AB010130	Aciclovir--Tableta-800 mg
B01AC060110	Ácido acetil salicílico--Tableta-81 mg
B01AC060510	Ácido acetil salicílico--Tableta recubierta-81 mg
B01AC060120	Ácido acetil salicílico--Tableta-100 mg
B01AC060520	Ácido acetil salicílico--Tableta recubierta-100 mg
N02BA010120	Ácido acetil salicílico--Tableta-375 mg
N02BA010110	Ácido acetil salicílico--Tableta-500 mg
N02BA010210	Ácido acetil salicílico--Tableta masticable-500 mg
N02BA010410	Ácido acetil salicílico--Tableta efervescente-500 mg
M05BA040120	Ácido alendrónico--Tableta-35 mg
M05BA040130	Ácido alendrónico--Tableta-70 mg
A11GA014111	Acido ascórbico-Ampolla x 5 ml-Solución inyectable-100 mg/ml
B03BB010110	Ácido fólico--Tableta-0.5 mg
B03BB010120	Ácido fólico--Tableta-1 mg
B03BB010130	Ácido fólico--Tableta-5 mg
D06AX011710	Ácido fusídico--Crema-2 %
M05BA060110	Ácido ibandrónico--Tableta-150 mg
M05BA060510	Ácido ibandrónico--Tableta recubierta-150 mg
M05BA064111	Ácido ibandrónico-Ampolla/jeringa prellenada x 3 ml-Solución inyectable-1 mg/ml
M05BA064112	Ácido ibandrónico-Vial x 6 ml-Solución inyectable-1 mg/ml
J04AA011310	Ácido p-aminosalicílico --Granulado-800 mg
B02AA024111	Ácido tranexámico-Ampolla x 5 ml-Solución inyectable-50 mg/ml
B02AA020510	Ácido tranexámico--Tableta recubierta-250 mg
B02AA020520	Ácido tranexámico--Tableta recubierta-500 mg
N03AG010510	Ácido valproico--Tableta recubierta-500 mg
N03AG012511	Ácido valproico-Frasco x 120 ml-Jarabe-250 mg/5 ml
N03AG013011	Ácido valproico -Frasco x 120 ml-Solución oral-250 mg/5 ml
N03AG013020	Ácido valproico--Solución oral-300 mg/5 ml
M05BA084111	Ácido zolendrónico-Vial x 5 ml-Solución inyectable-0.8 mg/ml
