codigo	descripcion
99201	VISITA EN LA OFICINA DE UN NUEVO PACIENTE QUE REQUIERE DE TRES COMPONENTES:  1.- HISTORIA FOCALIZADA AL PROBLEMA   2.- EXAMEN FOCALIZADO AL PROBLEMA    3.- DECISION MEDICA UNICA Y DIRECTA   TIEMPO DE DURACION   10 MIN.
99202	VISITA EN LA OFICINA DE UN NUEVO PACIENTE QUE REQUIERE DE TRES COMPONENTES:  1.- HISTORIA DETALLADA   2.- EXAMEN DETALLADO    3.- DECISION MEDICA UNICA Y DIRECTA      TIEMPO DE DURACION   20  MINUTOS 
99203	VISITA EN LA OFICINA DE UN NUEVO PACIENTE QUE REQUIERE DE TRES COMPONENTES:  1.- HISTORIA DETALLADA   2.- EXAMEN DETALLADO    3.- DECISION MEDICA DE BAJA COMPLEJIDAD      TIEMPO DE DURACION   30  MINUTOS 
99204	VISITA EN LA OFICINA DE UN NUEVO PACIENTE QUE REQUIERE DE TRES COMPONENTES:  1.- HISTORIA COMPLETA   2.- EXAMEN COMPLETO    3.- DECISION MEDICA DE MODERADA COMPLAJIDAD      TIEMPO DE DURACION   45  MINUTOS 
99205	VISITA EN LA OFICINA DE UN NUEVO PACIENTE QUE REQUIERE DE TRES COMPONENTES:  1.- HISTORIA COMPLETA   2.- EXAMEN COMPLETO    3.- DECISION MEDICA DE MODERADA COMPLAJIDAD      TIEMPO DE DURACION   60  MINUTOS 
99211	VISITA EN LA OFICINA SUBSECUENTE DE UN PACIENTE QUE PRESENTA UN PROBLEMA MINIMO, REQUIERE DE UNO DE LOS TRES COMPONENTES:  1.- HISTORIA FOCALIZADA AL PROBLEMA   2.- EXAMEN FOCALIZADO AL PROBLEMA    3.- DECISION MEDICA UNICA Y DIRECTA   TIEMPO DE DURACION   5 MINUTOS 
99212	VISITA EN LA OFICINA SUBSECUENTE DE UN PACIENTE QUE REQUIERE AL MENOS DOS DE LOS TRES COMPONENTES:  1.- HISTORIA DETALLADA   2.- EXAMEN DETALLADO    3.- DECISION MEDICA UNICA Y DIRECTA      TIEMPO DE DURACION   10 MINUTOS. USUALMENTE EL PROBLEMA ES AUTOLIMITADO O MENOR
99213	VISITA EN LA OFICINA SUBSECUENTE DE UN PACIENTE QUE REQUIERE DOS DE  TRES COMPONENTES:  1.- HISTORIA DETALLADA   2.- EXAMEN DETALLADO    3.- DECISION MEDICA DE BAJA COMPLEJIDAD      TIEMPO DE DURACION   15  MINUTOS.
99214	VISITA EN LA OFICINA SUBSECUENTE DE UN NUEVO PACIENTE QUE REQUIERE DOS DE  TRES COMPONENTES:  1.- HISTORIA COMPLETA   2.- EXAMEN COMPLETO    3.- DECISION MEDICA DE MODERADA COMPLEJIDAD      TIEMPO DE DURACION   25 MINUTOS 
99215	VISITA EN LA OFICINA SUBSECUENTE DE UN NUEVO PACIENTE QUE REQUIERE DOS DE TRES COMPONENTES:  1.- HISTORIA COMPLETA   2.- EXAMEN COMPLETO    3.- DECISION MEDICA DE ALTA COMPLEJIDAD      TIEMPO DE DURACION   40 MINUTOS 
99218	CUIDADO INICIAL DE OBSERVACIÓN POR DÍA DE UN NUEVO PACIENTE QUE REQUIERE DE TRES COMPONENTES: 1.- HISTORIA COMPLETA 2.- EXAMEN COMPLETO 3.- DECISIÓN MEDICA DE BAJA COMPLEJIDAD/ CONSEJO Y COORDINACIÓN DEL CUIDADO CON OTROS PROFESIONALES. USUALMENTE EL PROBLEMA REQUIERE DE INGRESO A OBSERVACIÓN
99219	CUIDADO INICIAL DE OBSERVACIÓN POR DÍA DE UN NUEVO PACIENTE QUE REQUIERE DE TRES COMPONENTES: 1.- HISTORIA COMPLETA 2.- EXAMEN COMPLETO 3.- DECISIÓN MEDICA DE MODERADA COMPLEJIDAD/ CONSEJO Y COORDINACIÓN DEL CUIDADO CON OTROS PROFESIONALES. USUALMENTE EL PROBLEMA REQUIERE DE INGRESO A OBSERVACIÓN
99220	CUIDADO INICIAL DE OBSERVACIÓN POR DÍA DE UN NUEVO PACIENTE QUE REQUIERE DE TRES COMPONENTES: 1.- HISTORIA COMPLETA 2.- EXAMEN COMPLETO 3.- DECISIÓN MEDICA DE ALTA COMPLEJIDAD/ CONSEJO Y COORDINACIÓN DEL CUIDADO CON OTROS PROFESIONALES. USUALMENTE EL PROBLEMA REQUIERE DE INGRESO A OBSERVACIÓN
99231	CUIDADO SUBSECUENTE, POR DÍA, PARA EVALUACIÓN Y MANEJO DE UN PACIENTE, QUE REQUIERE DE AL MENOS DOS DE ESTOS TRES COMPONENTES:· 1.- HISTORIA FOCALIZADA AL PROBLEMA   2.- EXAMEN FOCALIZADO AL PROBLEMA    3.- DECISIÓN MÉDICA DE BAJA COMPLEJIDAD.  USUALMENTE, EL PACIENTE ESTÁ ESTABLE, MEJORANDO Y RECUPERÁNDOSE. EL MÉDICO PASA HABITUALMENTE 15 MINUTOS EN LA HABITACIÓN
99232	CUIDADO SUBSECUENTE, POR DÍA, PARA EVALUACIÓN Y MANEJO DE UN PACIENTE, QUE REQUIERE DE AL MENOS DOS DE ESTOS TRES COMPONENTES: 1.- HISTORIA FOCALIZADA-EXTENDIDA 2.- EXAMEN FOCALIZADO-EXTENDIDO. 3.- DECISIÓN MEDICA DE MODERADA COMPLEJIDAD. USUALMENTE, EL PACIENTE ESTÁ RESPONDIENDO INADECUADAMENTE AL TRATAMIENTO O HA DESARROLLADO UNA COMPLICACIÓN MENOR. EL MÉDICO PASA APROXIMADAMENTE 25 MINUTOS CON EL PACIENTE
99233	CUIDADO SUBSECUENTE, POR DÍA, PARA EVALUACIÓN Y MANEJO DE UN PACIENTE, QUE REQUIERE DE AL MENOS DOS DE ESTOS TRES COMPONENTES: 1.- HISTORIA DETALLADA 2.- EXAMEN DETALLADO 3.- DECISIÓN MEDICA DE ALTA COMPLEJIDAD. USUALMENTE, EL PACIENTE ESTA INESTABLE O HA DESARROLLADO UNA COMPLICACIÓN MAYOR O UN NUEVO PROBLEMA SIGNIFICANTE. EL MÉDICO PASA APROXIMADAMENTE 35 MINUTOS CON EL PACIENTE.
99234	ADMISION Y ALTA CUIDADO HOSPITALARIO O EN OBSERVACION PARA EVALUACION Y MANEJO DE UN PACIENTE QUE INCLUYE ADMISION Y ALTA EL MISMO DIA, QUE REQUIERE DE ESTOS TRES COMPONENTES:· 1.-  HISTORIA CLINICA COMPLETA·   2.-  EXAMEN FISICO COMPLETO·   3.- DECISIONES MEDICAS DE BAJA COMPLEJIDAD. CONSEJO Y/O COORDINACION CON OTROS PROFESIONALES DE ACUAERDO A LA NATURALEZA DEL PROBLEMA Y CON LAS NECESIDADES DEL PACIENTE Y/O SU FAMILIA.
99235	ADMISION Y ALTA CUIDADO HOSPITALARIO O EN OBSERVACION PARA EVALUACION Y MANEJO DE UN PACIENTE QUE INCLUYE ADMISION Y ALTA EL MISMO DIA, QUE REQUIERE DE ESTOS TRES COMPONENTES:· 1.-  HISTORIA CLINICA COMPLETA·   2.-  EXAMEN FISICO COMPLETO·   3.- DECISIONES MEDICAS DE MODERADA COMPLEJIDAD. CONSEJO Y/O COORDINACION CON OTROS PROFESIONALES DE ACUAERDO A LA NATURALEZA DEL PROBLEMA Y CON LAS NECESIDADES DEL PACIENTE Y/O SU FAMILIA.
99236	ADMISION Y ALTA CUIDADO HOSPITALARIO O EN OBSERVACION PARA EVALUACION Y MANEJO DE UN PACIENTE QUE INCLUYE ADMISION Y ALTA EL MISMO DIA, QUE REQUIERE DE ESTOS TRES COMPONENTES:· 1.-  HISTORIA CLINICA COMPLETA·   2.-  EXAMEN FISICO COMPLETO·   3.- DECISIONES MEDICAS DE ALTA COMPLEJIDAD. CONSEJO Y/O COORDINACION CON OTROS PROFESIONALES DE ACUAERDO A LA NATURALEZA DEL PROBLEMA Y CON LAS NECESIDADES DEL PACIENTE Y/O SU FAMILIA.
99217	ALTA DE OBSERVACIÓN, ESTE CÓDIGO DEBE SER UTILIZADO POR EL MEDICO POR TODOS LOS SERVICIOS DEL DÍA DE ALTA DE OBSERVACIÓN SI ESTA ES AL SIGUIENTE DÍA
99238	ALTA HOSPITALARIA POR EL ULTIMO DIA: SE RECONOCERA EL PAGO DE HONORARIOS MEDICOS POR ALTA, QUE INCLUYE ADEMAS DE LAS PRESCRIPCIONES MEDICAS, LA INFORMACION A PACIENTE Y FAMILIARES, Y DE SER NECESARIO LA COORDINACION CON OTRAS INSTITUCIONES EN EL CASO DE PROCESOS DE REFERENCIA. TIEMPO DE DURACION 30 MIN O MENOS
99239	ALTA HOSPITALARIA POR EL DIA DE ALTA: SE RECONOCERA EL PAGO DE HONORARIOS MEDICOS POR ALTA, QUE INCLUYE ADEMAS DE LAS PRESCRIPCIONES MEDICAS, LA INFORMACION A PACIENTE Y FAMILIARES, Y DE SER NECESARIO LA COORDINACION CON OTRAS INSTITUCIONES EN EL CASO DE PROCESOS DE REFERENCIA. TIEMPO DE DURACION MAS DE 30 MIN
